"Name","Total_Average_MAE_Loss","feature_index"
"driven-sweep-61","7.039549261331558","64"
"eternal-sweep-72","7.037465499980109","75"
"lyric-sweep-150","7.032741729702268","153"
"graceful-sweep-351","7.028427519968577","354"
"hopeful-sweep-4","7.025884002447128","7"
"curious-sweep-47","7.025614167962756","50"
"toasty-sweep-281","7.024493042911802","284"
"dutiful-sweep-95","7.024136854069574","98"
"clean-sweep-84","7.022064030170441","87"
"wobbly-sweep-180","7.019182081733431","183"
"different-sweep-112","7.018551571028573","115"
"lemon-sweep-230","7.0174643993377686","233"
"autumn-sweep-243","7.017119986670359","246"
"exalted-sweep-144","7.015089903559003","147"
"peach-sweep-181","7.015083636556353","184"
"fiery-sweep-354","7.014198473521642","357"
"vital-sweep-303","7.013691812753677","306"
"winter-sweep-191","7.012811264821461","194"
"clear-sweep-29","7.011977178709848","32"
"snowy-sweep-190","7.009518585034779","193"
"rich-sweep-317","7.007678312914712","320"
"gallant-sweep-327","7.006617409842355","330"
"young-sweep-280","7.004695926393781","283"
"rich-sweep-253","7.003272154501506","256"
"rose-sweep-339","7.003096316541944","342"
"rare-sweep-306","7.002537884882519","309"
"sweepy-sweep-373","7.001467338630132","376"
"wandering-sweep-189","7.000214938606535","192"
"usual-sweep-115","6.994692845003946","118"
"robust-sweep-53","6.99240898660251","56"
"rich-sweep-363","6.990627646446228","366"
"sunny-sweep-1","6.990514252867017","4"
"eternal-sweep-167","6.990479912076678","170"
"flowing-sweep-287","6.988799052579062","290"
"ethereal-sweep-169","6.987927109003067","172"
"fallen-sweep-246","6.984899316515241","249"
"classic-sweep-186","6.980493571077074","189"
"clean-sweep-341","6.97908844266619","344"
"snowy-sweep-368","6.97820971267564","371"
"wise-sweep-31","6.970039312328611","34"
"proud-sweep-34","6.967840458665576","37"
"cerulean-sweep-156","6.96645878468241","159"
"robust-sweep-129","6.965539932250977","132"
"curious-sweep-78","6.9646428142275125","81"
"dulcet-sweep-134","6.963983948741641","137"
"unique-sweep-240","6.960192212036677","243"
"robust-sweep-222","6.960003895418984","225"
"laced-sweep-357","6.959813143525805","360"
"noble-sweep-223","6.959623060056141","226"
"chocolate-sweep-300","6.958262026309967","303"
"light-sweep-283","6.957936469997678","286"
"revived-sweep-313","6.953292054789407","316"
"hopeful-sweep-174","6.951502186911447","177"
"lilac-sweep-340","6.950389099972589","343"
"grateful-sweep-284","6.9464398707662305","287"
"winter-sweep-91","6.945318711655481","94"
"cerulean-sweep-197","6.9423543597970685","200"
"breezy-sweep-76","6.941789571728025","79"
"decent-sweep-276","6.941734164953232","279"
"worthy-sweep-113","6.936638964073999","116"
"cosmic-sweep-342","6.936035760811397","345"
"lively-sweep-288","6.934583348887307","291"
