hour,DAM_SP15,DAM_NP15,DAM_ZP26
2022-08-27 23:00:00,72.10579,76.28,70.41502
2022-08-27 09:00:00,72.37223,85.64,75.68112
2022-08-27 19:00:00,57.92984,66.33,55.27385
2022-05-19 06:00:00,76.90624,80.11724,76.64038
2022-05-19 01:00:00,101.51339,104.70449,99.61766
2022-05-19 03:00:00,126.87602,132.29639,127.02515
2022-05-19 00:00:00,71.85571,82.61725,69.9561
2022-05-19 02:00:00,136.08313,141.65788,135.85052
2022-05-19 04:00:00,102.49,106.61987,102.34385
2022-05-19 05:00:00,83.13769,85.44516,81.90243
2022-05-19 07:00:00,76.51591,81.49114,77.60806
2022-05-19 15:00:00,26.07775,46.29189,21.32179
2022-05-19 17:00:00,21.04176,44.56467,10.24223
2022-05-19 08:00:00,75.78,81.04581,76.77935
2022-05-19 09:00:00,73.70112,79.2768,74.64316
2022-05-19 10:00:00,71.13337,76.7474,72.11889
2022-05-19 12:00:00,82.89686,89.22249,84.15476
2022-05-19 18:00:00,19.79842,47.38668,8.60754
2022-05-19 20:00:00,25.10951,51.07356,12.90763
2022-05-19 13:00:00,77.77,84.25383,79.11216
2022-05-19 14:00:00,53.72,60.20135,53.62855
2022-05-19 16:00:00,18.47951,45.90741,11.20254
2022-05-19 11:00:00,74.62,80.00541,75.62762
2022-05-19 21:00:00,27.56992,54.10578,14.24977
2022-05-19 19:00:00,22.25326,51.23927,10.80414
2022-05-19 22:00:00,30.64055,52.82294,24.82564
2022-05-19 23:00:00,33.21775,51.92566,30.13112
2022-09-07 01:00:00,1196.2018,1161.1825,1153.6608
2022-09-07 04:00:00,234.7353,227.72,226.99677
2022-09-07 06:00:00,157.15099,150.77306,151.28716
2022-09-07 05:00:00,178.59122,171.9282,138.37938
2022-09-07 03:00:00,761.50354,738.5794,739.3618
2022-09-07 00:00:00,937.38367,924.75995,900.1975
2022-09-07 02:00:00,1093.7412,1065.4539,1064.5522
2022-09-07 08:00:00,110.48205,107.78919,108.03795
2022-09-07 20:00:00,143.57713,139.4835,135.0
2022-09-07 21:00:00,181.15012,169.18155,163.23509
2022-09-07 18:00:00,113.53762,109.85996,106.25279
2022-09-07 09:00:00,108.06209,105.47473,105.9727
2022-09-07 23:00:00,375.39487,366.13425,355.18387
2022-09-07 14:00:00,98.05235,98.79279,96.59176
2022-09-07 10:00:00,104.25282,101.22185,102.14563
2022-09-07 12:00:00,107.87838,104.6,105.4911
2022-09-07 07:00:00,116.13236,113.17631,112.84256
2022-09-07 16:00:00,85.17524,84.61029,81.61782
2022-09-07 15:00:00,82.79411,82.69124,80.10232
2022-09-07 11:00:00,104.27583,101.35857,102.32744
2022-09-07 22:00:00,252.16006,246.08392,238.0
2022-09-07 13:00:00,112.8882,108.70928,109.55651
2022-09-07 19:00:00,141.5862,118.76,113.49386
2022-09-07 17:00:00,94.00223,93.67957,90.09117
2022-07-24 00:00:00,86.84079,83.38038,81.92779
2022-07-24 02:00:00,132.012,122.22404,125.46715
2022-07-24 01:00:00,108.96653,102.48028,103.03035
2022-07-24 04:00:00,104.05235,98.20621,99.8835
2022-07-24 03:00:00,113.47583,105.38777,108.54955
2022-07-24 05:00:00,81.98272,83.64318,80.85
2022-07-24 06:00:00,73.39275,76.94324,72.93053
2022-07-24 10:00:00,70.43304,75.49546,70.66768
2022-07-24 23:00:00,81.89576,82.55944,79.33868
2022-07-24 11:00:00,73.31835,78.15236,73.34991
2022-07-24 16:00:00,51.04201,55.87122,48.4713
2022-07-24 21:00:00,69.48173,71.86563,65.9577
2022-07-24 08:00:00,70.30321,76.76815,69.0
2022-07-24 18:00:00,60.24519,65.06961,57.18385
2022-07-24 22:00:00,74.39162,74.49709,74.53376
2022-07-24 07:00:00,75.26441,82.42071,52.0
2022-07-24 13:00:00,73.18147,77.80765,73.42854
2022-07-24 15:00:00,53.21728,55.35311,50.9287
